ZoneNo,Div,ZoneName,WardName,PopulationEsti2020,Area(km2),PopulationDensity
I,1,THIRUVOTTIYUR,Sathyavani muthu nagar,3050,1.73,1758
I,2,THIRUVOTTIYUR,Kathivakkam,9553,2.92,3274
I,3,THIRUVOTTIYUR,Annai Sivagami nagar,14743,3.16,4660
I,4,THIRUVOTTIYUR,Ernavoor,11901,2.08,5718
I,5,THIRUVOTTIYUR,Wimco nagar,22818,2.32,9833
I,6,THIRUVOTTIYUR,Sathyamurthy nagar,17966,1.38,13037
I,7,THIRUVOTTIYUR,Ramasamy nagar,146102,7.68,19017
I,8,THIRUVOTTIYUR,Periyar nagar,14174,0.72,19561
I,9,THIRUVOTTIYUR,Thiruvottiyur Kuppam,8471,0.68,12423
I,10,THIRUVOTTIYUR,Maatu mandai,16196,0.52,31029
I,11,THIRUVOTTIYUR,Kaladipet North,11809,0.63,18626
I,12,THIRUVOTTIYUR,Kaladipet South,10563,0.42,25083
I,13,THIRUVOTTIYUR,Sathma nagar,13273,0.47,28138
I,14,THIRUVOTTIYUR,Thiruchina Kuppam,7659,0.67,11457
II,15,MANALI,Edayanchavadi,10128,8.71,1163
II,16,MANALI,Andarkuppam,21009,10.03,2094
II,17,MANALI,Vadaperumbakkam,13978,6.68,2093
II,18,MANALI,Manali,81457,8.08,10084
II,19,MANALI,MMDA Mathur,37122,4.12,9009
II,20,MANALI,,10600,0.64,16634
II,21,MANALI,,37071,1.87,19814
III,22,MADHAVARAM,Kavangarai,29419,2.15,13654
III,23,MADHAVARAM,Puzhal,34987,4.16,8418
III,24,MADHAVARAM,Soorapet,26340,2.71,9704
III,25,MADHAVARAM,Kathirvedu,53108,3.98,13328
III,26,MADHAVARAM,Thanikachalam Nagar,21233,2.15,9857
III,27,MADHAVARAM,Alex Nagar,34592,3.65,9488
III,28,MADHAVARAM,Arul nagar,26040,1.31,19856
III,29,MADHAVARAM,Chinnasekkadu,43210,2.28,18951
III,30,MADHAVARAM,Madhavaram,26123,3.10,8430
III,31,MADHAVARAM,Udayar Thottam,23415,2.50,9379
III,32,MADHAVARAM,Lakshmipuram,36982,4.97,7443
III,33,MADHAVARAM,Ponniamman Medu,7270,0.69,10574
IV,34,TONDIARPET,Jambuli Village,46766,2.44,19141
IV,35,TONDIARPET,Kodungaiyur,46379,1.69,27435
IV,36,TONDIARPET,Erukenchery,29051,1.38,21106
IV,37,TONDIARPET,,76742,4.10,18703
IV,38,TONDIARPET,Tondiarpet,42397,1.80,23530
IV,39,TONDIARPET,Cherian Nagar,26325,1.04,25240
IV,40,TONDIARPET,"VOC Nagar,Ammani Ammal Thottam",32835,1.07,30757
IV,41,TONDIARPET,Kumarasamy Nagar South,23464,0.89,26286
IV,42,TONDIARPET,,25135,1.08,23179
IV,43,TONDIARPET,Kasimedu,24612,0.99,24804
IV,44,TONDIARPET,Perambur Market,19109,0.69,27637
IV,45,TONDIARPET,Ganesapuram,33765,1.14,29606
IV,46,TONDIARPET,Vyasarpadi,32937,1.44,22923
IV,47,TONDIARPET,Korukkupe,14214,0.62,22770
IV,48,TONDIARPET,Parthasarathy Nagar,14271,0.48,29785
V,49,ROYAPURAM,Old Wasermanpet,18431,0.78,23615
V,50,ROYAPURAM,Panamarathotti,41536,1.54,27025
V,51,ROYAPURAM,,10690,0.40,26509
V,52,ROYAPURAM,Meenachi Amman pettai,28739,1.04,27712
V,53,ROYAPURAM,Moolakathalam,22842,0.85,26733
V,54,ROYAPURAM,Kondithope,18372,0.59,30931
V,55,ROYAPURAM,Seven Wells,15552,0.57,27089
V,56,ROYAPURAM,Muthialpet,13889,0.57,24499
V,57,ROYAPURAM,Sowcarpet,28966,0.91,31886
V,58,ROYAPURAM,Periyamedu,80003,2.60,30823
