list_name,master_item_name,master_material,itemname,material,quantity,description,latitude,longitude,altitude,radius,location,timestamp,dt,project_name,username,manual_upload,event_name,id,log_index
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothbrushes","PERSONAL CARE","4","","21.2145118","72.8440089","-34.131866455078","6.8109998703003","Katargam Taluka, Gujarat, India","20220913090139","2022-09-13 09:01:39","Default","CEE Pune","0","","2179643","55094"
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothbrushes","PERSONAL CARE","1","","21.1850231","72.8739787","-46.099998474121","0.70099997520447","Udhna Taluka, Gujarat, India","20220914053923","2022-09-14 05:39:23","Default","CEE Pune","0","","2180602","55122"
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothbrushes","PERSONAL CARE","1","","21.2405583","72.8588788","-44.599998474121","27.193000793457","Adajan Taluka, Gujarat, India","20220914074610","2022-09-14 07:46:10","Default","CEE Pune","0","","2184341","55227"
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothbrushes","PERSONAL CARE","2","","21.1960658","72.8074529","-45.21","7.0409998893738","Surat, Gujarat, India","20220917062724","2022-09-17 06:27:24","Default","CEE Pune","0","","2188095","55309"
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothpaste or Other Product Tube","PERSONAL CARE","2","","21.215075","72.847822","-41","14.649000167847","Katargam Taluka, Gujarat, India","20220914055254","2022-09-14 05:52:54","Default","CEE Pune","0","","2180536","55121"
"Site Assessment","Toothbrushes, toothpaste, & floss","PLASTIC","Toothpaste or Other Product Tube","PERSONAL CARE","1","","21.1937886","72.890939","-45.799999237061","47.134998321533","Chorasi Taluka, Gujarat, India","20220916052109","2022-09-16 05:21:09","Default","CEE Pune","0","","2188382","55311"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","21.2140777","72.8440434","-36.893737792969","7.6810002326965","Katargam Taluka, Gujarat, India","20220913091728","2022-09-13 09:17:28","Default","CEE Pune","0","","2179675","55094"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","21.1896614","72.8355934","-44.699996948242","6.4699997901917","Gujarat, India","20220915073626","2022-09-15 07:36:26","Default","CEE Pune","0","","2181620","55174"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","21.1913209","72.8396963","-50.860412597656","6.960000038147","Gujarat, India","20220916053328","2022-09-16 05:33:28","Default","CEE Pune","0","","2184748","55253"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","2","","21.1998805","72.8079437","-11.213","5.313000202179","Surat, Gujarat, India","20220917050247","2022-09-17 05:02:47","Default","CEE Pune","0","","2187355","55305"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","2","","21.1960664","72.8074552","-45.209","6.7129998207092","Surat, Gujarat, India","20220917062732","2022-09-17 06:27:32","Default","CEE Pune","0","","2188096","55309"
"Site Assessment","Cotton buds","MIXED MATERIALS","Cotton Buds","PERSONAL CARE","1","","21.2288597","72.8079594","-49.099998474121","17.152000427246","Surat, Gujarat, India","20220917053906","2022-09-17 05:39:06","Default","CEE Pune","0","","2188521","55312"
"Site Assessment","Mask","PERSONAL HYGEINE","Face Masks","PPE","1","","21.1985469","72.8007102","-47.799999237061","24.846000671387","Surat, Gujarat, India","20221110104447","2022-11-10 10:44:47","Default","CEE Pune","0","","2266995","57178"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.2149601","72.8440241","-42.199996948242","11.145999908447","Katargam Taluka, Gujarat, India","20220913084739","2022-09-13 08:47:39","Default","CEE Pune","0","","2179591","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.2149601","72.8440241","-42.199996948242","11.145999908447","Katargam Taluka, Gujarat, India","20220913084739","2022-09-13 08:47:39","Default","CEE Pune","0","","2179592","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.2149608","72.8440205","-42.199996948242","11.74199962616","Katargam Taluka, Gujarat, India","20220913084749","2022-09-13 08:47:49","Default","CEE Pune","0","","2179593","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.2149608","72.8440205","-42.199996948242","11.74199962616","Katargam Taluka, Gujarat, India","20220913084749","2022-09-13 08:47:49","Default","CEE Pune","0","","2179594","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.2149608","72.8440205","-42.199996948242","11.74199962616","Katargam Taluka, Gujarat, India","20220913084749","2022-09-13 08:47:49","Default","CEE Pune","0","","2179595","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.2149608","72.8440205","-42.199996948242","11.74199962616","Katargam Taluka, Gujarat, India","20220913084749","2022-09-13 08:47:49","Default","CEE Pune","0","","2179596","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.2149608","72.8440205","-42.199996948242","11.74199962616","Katargam Taluka, Gujarat, India","20220913084749","2022-09-13 08:47:49","Default","CEE Pune","0","","2179597","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","","21.21496","72.8440204","-42.199996948242","15.859000205994","Katargam Taluka, Gujarat, India","20220913084759","2022-09-13 08:47:59","Default","CEE Pune","0","","2179598","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","thermacol ","21.2147863","72.8440767","-42.199996948242","14.704000473022","Katargam Taluka, Gujarat, India","20220913085639","2022-09-13 08:56:39","Default","CEE Pune","0","","2179626","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","28","","21.2145088","72.8440137","-32.869995117188","11.112000465393","Katargam Taluka, Gujarat, India","20220913090108","2022-09-13 09:01:08","Default","CEE Pune","0","","2179642","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","thermacol fragment ","21.2145048","72.8440029","-29.62109375","8.4469995498657","Katargam Taluka, Gujarat, India","20220913090929","2022-09-13 09:09:29","Default","CEE Pune","0","","2179658","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","17","","21.2140674","72.8440333","-35.953857421875","11.116000175476","Katargam Taluka, Gujarat, India","20220913091709","2022-09-13 09:17:09","Default","CEE Pune","0","","2179674","55094"
"Site Assessment","Foam Fragment","PLASTIC","Foam Fragments","PLASTIC FRAGMENTS","1","thermocol pic","21.1887794","72.8705264","-45.599998474121","36.448001861572","Puna Taluka, Gujarat, India","20220913062340","2022-09-13 06:23:40","Default","CEE Pune","0","","2179802","55105"
